Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,season
1,Michael Jordan,28,CHI,80,900,960,0.938,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274,1991-92
2,Clyde Drexler,29,POR,12,561,960,0.584,76,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223,1991-92
3,David Robinson,26,SAS,2,337,960,0.351,68,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26,1991-92
4,Karl Malone,28,UTA,1,262,960,0.273,81,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,0.237,1991-92
5,Patrick Ewing,29,NYK,0,100,960,0.104,82,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,0.198,1991-92
6,Chris Mullin,28,GSW,0,81,960,0.084,81,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155,1991-92
7,Mark Price,27,CLE,0,66,960,0.069,72,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205,1991-92
8,Tim Hardaway,25,GSW,0,64,960,0.067,81,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,0.132,1991-92
9,Scottie Pippen,26,CHI,1,32,960,0.033,82,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,0.192,1991-92
10,Dennis Rodman,30,DET,0,26,960,0.027,82,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183,1991-92
11,Brad Daugherty,26,CLE,0,24,960,0.025,73,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,0.213,1991-92
12T,Charles Barkley,28,PHI,0,18,960,0.019,75,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205,1991-92
12T,John Stockton,29,UTA,0,18,960,0.019,82,36.6,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,0.215,1991-92
14,Larry Bird,35,BOS,0,3,960,0.003,45,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,0.159,1991-92
15,Kevin Johnson,25,PHO,0,2,960,0.002,78,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,0.165,1991-92
16T,Danny Manning,25,LAC,0,1,960,0.001,82,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0,0.725,9.8,0.162,1991-92
16T,Detlef Schrempf,29,IND,0,1,960,0.001,80,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181,1991-92
