Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,season
1,Karl Malone,35,UTA,44,827,1180,0.701,49,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0,0.788,9.6,0.252,1998-99
2,Alonzo Mourning,28,MIA,36,773,1180,0.655,46,38.1,20.1,11,1.6,0.7,3.9,0.511,0,0.652,7.9,0.216,1998-99
3,Tim Duncan,22,SAS,30,740,1180,0.627,50,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,8.7,0.213,1998-99
4,Allen Iverson,23,PHI,5,319,1180,0.27,48,41.5,26.8,4.9,4.6,2.3,0.1,0.412,0.291,0.751,7.2,0.173,1998-99
5,Jason Kidd,25,PHO,2,159,1180,0.135,50,41.2,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,8.1,0.188,1998-99
6,Shaquille O'Neal,26,LAL,1,89,1180,0.075,49,34.8,26.3,10.7,2.3,0.7,1.7,0.576,0,0.54,9,0.255,1998-99
7,Chris Webber,25,SAC,0,51,1180,0.043,42,40.9,20,13,4.1,1.4,2.1,0.486,0.118,0.454,3.6,0.102,1998-99
8,Grant Hill,26,DET,0,39,1180,0.033,50,37,21.1,7.1,6,1.6,0.5,0.479,0,0.752,7.3,0.189,1998-99
9,Gary Payton,30,SEA,0,35,1180,0.03,50,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,7.2,0.172,1998-99
10,Kevin Garnett,22,MIN,0,9,1180,0.008,47,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.286,0.704,5.4,0.146,1998-99
11,Shawn Kemp,29,CLE,0,7,1180,0.006,42,35.1,20.5,9.2,2.4,1.1,1.1,0.482,0.5,0.789,6.3,0.205,1998-99
12,David Robinson,33,SAS,0,6,1180,0.005,49,31.7,15.8,10,2.1,1.4,2.4,0.509,0,0.658,8.4,0.261,1998-99
13T,Hakeem Olajuwon,36,HOU,0,3,1180,0.003,50,35.7,18.9,9.6,1.8,1.6,2.5,0.514,0.308,0.717,6.5,0.175,1998-99
13T,Arvydas Sabonis,34,POR,0,3,1180,0.003,50,27,12.1,7.9,2.4,0.7,1.3,0.485,0.292,0.771,5.8,0.207,1998-99
15,Darrell Armstrong,30,ORL,0,2,1180,0.002,50,30,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4,0.205,1998-99
16T,Vince Carter,22,TOR,0,1,1180,0.001,50,35.2,18.3,5.7,3,1.1,1.5,0.45,0.288,0.761,5,0.136,1998-99
16T,Anfernee Hardaway,27,ORL,0,1,1180,0.001,50,38.9,15.8,5.7,5.3,2.2,0.5,0.42,0.286,0.706,5,0.122,1998-99
16T,Mark Jackson,33,IND,0,1,1180,0.001,49,28.2,7.6,3.8,7.9,0.9,0.1,0.419,0.311,0.823,3.8,0.134,1998-99
16T,Glenn Robinson,26,MIL,0,1,1180,0.001,47,33.6,18.4,5.9,2.1,1,0.9,0.459,0.392,0.87,4,0.122,1998-99
16T,Steve Smith,29,ATL,0,1,1180,0.001,36,36.5,18.7,4.2,3.3,1,0.3,0.402,0.338,0.849,4.4,0.162,1998-99
16T,Rasheed Wallace,24,POR,0,1,1180,0.001,49,28.9,12.8,4.9,1.2,1,1.1,0.508,0.419,0.732,5,0.169,1998-99
