Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,season
1,James Harden,28,HOU,86,965,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,2017-18
2,LeBron James,33,CLE,15,738,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221,2017-18
3,Anthony Davis,24,NOP,0,445,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,2017-18
4,Damian Lillard,27,POR,0,207,1010,0.205,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,2017-18
5,Russell Westbrook,29,OKC,0,76,1010,0.075,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,2017-18
6,Giannis Antetokounmpo,23,MIL,0,75,1010,0.074,75,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,2017-18
7,Kevin Durant,29,GSW,0,66,1010,0.065,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,2017-18
8,DeMar DeRozan,28,TOR,0,32,1010,0.032,80,33.9,23,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17,2017-18
9,LaMarcus Aldridge,32,SAS,0,6,1010,0.006,75,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209,2017-18
10T,Jimmy Butler,28,MIN,0,5,1010,0.005,59,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198,2017-18
10T,Stephen Curry,29,GSW,0,5,1010,0.005,51,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267,2017-18
12,Joel Embiid,23,PHI,0,4,1010,0.004,63,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,2017-18
13,Victor Oladipo,25,IND,0,2,1010,0.002,75,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,2017-18
